regime,step,thresholds,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count,constraint_satisfied,objective,hard_constraint
session_greedy,initial,"{""asia"": {""t_down"": 0.43, ""t_up"": 0.575}, ""europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""us"": {""t_down"": 0.43, ""t_up"": 0.575}}",7468.0,0.7055436529191216,0.7023605884365378,0.6947996589940324,0.6985801237152851,0.6501071237279057,0.698994116530651,0.5547542228126779,0.44524577718732206,0.575,0.43,5269.0,2923.0,2346.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2807980717728978,0.46083922421286133,0.6093189490380648,2923.0,2346.0,5269.0,0.7055436529191216,0.698994116530651,4825.0,0.7573056994818653,0.9950738916256158,3654.0,2643.0,0.6110480514566781,0.02910216718266254,1615.0,,,
session_greedy,set_asia,"{""asia"": {""t_down"": 0.4, ""t_up"": 0.55}, ""europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""us"": {""t_down"": 0.43, ""t_up"": 0.575}}",7468.0,0.702597750401714,0.694471704285247,0.7009132420091324,0.6976924731471896,0.6501071237279057,0.6971602820659425,0.5826186392224129,0.4173813607775872,0.5666666666666667,0.42,5247.0,3057.0,2190.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2770487412961972,0.46127486876347207,0.6006152948216642,3057.0,2190.0,5247.0,0.702597750401714,0.6971602820659425,4825.0,0.7523316062176166,0.9953168044077135,3630.0,2643.0,0.6118047673098751,0.027829313543599257,1617.0,,,
session_greedy,set_asia,"{""asia"": {""t_down"": 0.415, ""t_up"": 0.55}, ""europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""us"": {""t_down"": 0.43, ""t_up"": 0.575}}",7468.0,0.7122388859132298,0.694471704285247,0.6971706454465075,0.6958211748658772,0.6501071237279057,0.6956194773453657,0.5747320924985899,0.42526790750141,0.5666666666666667,0.425,5319.0,3057.0,2262.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.27865559721478306,0.4656088963381428,0.5984756721925107,3057.0,2262.0,5319.0,0.7122388859132298,0.6956194773453657,4825.0,0.7606217616580311,0.9948228882833787,3670.0,2643.0,0.6239122209610292,0.02971497877501516,1649.0,,,
session_greedy,set_asia,"{""asia"": {""t_down"": 0.425, ""t_up"": 0.55}, ""europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""us"": {""t_down"": 0.43, ""t_up"": 0.575}}",7468.0,0.7192019282271023,0.694471704285247,0.6953327571305099,0.6949022307078785,0.6501071237279057,0.6948426736175759,0.5691677527462298,0.43083224725377023,0.5666666666666667,0.4283333333333333,5371.0,3057.0,2314.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.28026245313336906,0.4684759732866421,0.5982429603959378,3057.0,2314.0,5371.0,0.7192019282271023,0.6948426736175759,4825.0,0.7672538860103627,0.9945975148568341,3702.0,2643.0,0.6314793794930004,0.029958058717795086,1669.0,,,
session_greedy,set_asia,"{""asia"": {""t_down"": 0.43, ""t_up"": 0.55}, ""europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""us"": {""t_down"": 0.43, ""t_up"": 0.575}}",7468.0,0.7234868773433315,0.694471704285247,0.6947996589940324,0.6946356816396397,0.6501071237279057,0.6946141032759579,0.5657967795669073,0.43420322043309273,0.5666666666666667,0.43,5403.0,3057.0,2346.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.28160149973219073,0.47004541142911965,0.5990942425669328,3057.0,2346.0,5403.0,0.7234868773433315,0.6946141032759579,4825.0,0.7713989637305699,0.9943578721117678,3722.0,2643.0,0.6360196746121831,0.030933967876264127,1681.0,,,
session_greedy,set_asia,"{""asia"": {""t_down"": 0.435, ""t_up"": 0.55}, ""europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""us"": {""t_down"": 0.43, ""t_up"": 0.575}}",7468.0,0.7276379217996787,0.694471704285247,0.6928901977282289,0.6936809510067379,0.6501071237279057,0.69377990430622,0.562569009937431,0.437430990062569,0.5666666666666667,0.43166666666666664,5434.0,3057.0,2377.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2820032137118371,0.47203533135128856,0.5974197162414743,3057.0,2377.0,5434.0,0.7276379217996787,0.69377990430622,4825.0,0.7745077720207254,0.9941129248059941,3737.0,2643.0,0.6420734014377601,0.03241013553329405,1697.0,,,
session_greedy,set_asia,"{""asia"": {""t_down"": 0.445, ""t_up"": 0.55}, ""europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""us"": {""t_down"": 0.43, ""t_up"": 0.575}}",7468.0,0.7358061060524906,0.694471704285247,0.6903199343724364,0.6923958193288418,0.6501071237279057,0.6926296633303003,0.5563239308462239,0.44367606915377616,0.5666666666666667,0.435,5495.0,3057.0,2438.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.283476164970541,0.4755680503786759,0.5960790779465109,3057.0,2438.0,5495.0,0.7358061060524906,0.6926296633303003,4825.0,0.7823834196891192,0.9933774834437086,3775.0,2643.0,0.6507756337495271,0.03255813953488372,1720.0,,,
session_greedy,set_asia,"{""asia"": {""t_down"": 0.455, ""t_up"": 0.55}, ""europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""us"": {""t_down"": 0.43, ""t_up"": 0.575}}",7468.0,0.7455811462238886,0.694471704285247,0.6873755475906014,0.6909236259379241,0.6501071237279057,0.6912715517241379,0.5490301724137931,0.4509698275862069,0.5666666666666667,0.4383333333333333,5568.0,3057.0,2511.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.28521692554900907,0.4797729779150132,0.5944830965439081,3057.0,2511.0,5568.0,0.7455811462238886,0.6912715517241379,4825.0,0.7912953367875648,0.9929282346778417,3818.0,2643.0,0.6621263715474839,0.03314285714285714,1750.0,,,
session_greedy,set_asia,"{""asia"": {""t_down"": 0.4, ""t_up"": 0.56}, ""europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""us"": {""t_down"": 0.43, ""t_up"": 0.575}}",7468.0,0.6955008034279593,0.6970705725699068,0.7009132420091324,0.6989919072895197,0.6501071237279057,0.6986907970735464,0.5783596457450905,0.42164035425490953,0.57,0.42,5194.0,3004.0,2190.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.27637921799678633,0.45777810423346643,0.6037405796408147,3004.0,2190.0,5194.0,0.6955008034279593,0.6986907970735464,4825.0,0.7467357512953368,0.9958368026644463,3603.0,2643.0,0.6019674612183126,0.025769956002514142,1591.0,,,
session_greedy,set_asia,"{""asia"": {""t_down"": 0.415, ""t_up"": 0.56}, ""europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""us"": {""t_down"": 0.43, ""t_up"": 0.575}}",7468.0,0.7051419389394751,0.6970705725699068,0.6971706454465075,0.6971206090082072,0.6501071237279057,0.6971135586783137,0.5704519559437904,0.42954804405620967,0.57,0.425,5266.0,3004.0,2262.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2779860739153722,0.46214492587504563,0.6015127687251377,3004.0,2262.0,5266.0,0.7051419389394751,0.6971135586783137,4825.0,0.7550259067357513,0.9953335163326928,3643.0,2643.0,0.6140749148694665,0.027726432532347505,1623.0,,,
session_greedy,set_asia,"{""asia"": {""t_down"": 0.425, ""t_up"": 0.56}, ""europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""us"": {""t_down"": 0.43, ""t_up"": 0.575}}",7468.0,0.7121049812533476,0.6970705725699068,0.6953327571305099,0.6962016648502083,0.6501071237279057,0.6963144039112449,0.564874012786762,0.4351259872132381,0.57,0.4283333333333333,5318.0,3004.0,2314.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.27959292983395834,0.4650333597815265,0.601231984658717,3004.0,2314.0,5318.0,0.7121049812533476,0.6963144039112449,4825.0,0.7616580310880829,0.9951020408163266,3675.0,2643.0,0.6216420734014377,0.02799756542909312,1643.0,,,
session_greedy,set_asia,"{""asia"": {""t_down"": 0.43, ""t_up"": 0.56}, ""europe"": {""t_down"": 0.43, ""t_up"": 0.575}, ""us"": {""t_down"": 0.43, ""t_up"": 0.575}}",7468.0,0.7163899303695769,0.6970705725699068,0.6947996589940324,0.6959351157819695,0.6501071237279057,0.6960747663551402,0.5614953271028037,0.43850467289719625,0.57,0.43,5350.0,3004.0,2346.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2809319764327799,0.4666143771556964,0.602064553058211,3004.0,2346.0,5350.0,0.7163899303695769,0.6960747663551402,4825.0,0.7658031088082902,0.9948579161028417,3695.0,2643.0,0.6261823685206205,0.029003021148036254,1655.0,,,
