risk_threshold,include_abstains,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count
0.4,False,7468.0,0.7047402249598286,0.5406399411548364,0.49724842767295596,0.5189441844138962,0.6491697911087306,0.5196655899676991,0.516625498764963,0.48337450123503706,0.4,0.0,5263.0,2719.0,2544.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.027718264595607982,0.5818169645018184,0.04764086695090059,2719.0,2544.0,5263.0,0.7047402249598286,0.5196655899676991,4825.0,0.7517098445595854,0.4146677695064792,3627.0,2643.0,0.6189935679152478,0.7524449877750611,1636.0
0.4,True,7468.0,0.9998660953401178,0.51699604743083,0.48447712418300654,0.5007365858069183,0.6491697911087306,0.5010044194455605,0.5082362394535959,0.4917637605464042,0.4,0.0,7467.0,3795.0,3672.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.0020085698982325495,0.7063488958871124,0.0028435945889176504,3795.0,3672.0,7467.0,0.9998660953401178,0.5010044194455605,4825.0,1.0,0.3117098445595855,4825.0,2643.0,0.9996216420734014,0.8467070401211204,2642.0
0.45,False,7468.0,0.7047402249598286,0.590046544933763,0.554251012145749,0.572148778539756,0.6491697911087306,0.5732471974159224,0.5306859205776173,0.4693140794223827,0.45,0.0,5263.0,2793.0,2470.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.10324049276914832,0.5484066612426768,0.18825535877920913,2793.0,2470.0,5263.0,0.7047402249598286,0.5732471974159224,4825.0,0.7517098445595854,0.5594154948993658,3627.0,2643.0,0.6189935679152478,0.6039119804400978,1636.0
0.45,True,7468.0,0.9989287627209427,0.5533126293995859,0.5233592880978866,0.5383359587487362,0.6491697911087306,0.5388739946380697,0.5179624664879356,0.48203753351206435,0.45,0.0,7460.0,3864.0,3596.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.07766470273165511,0.6786987770687698,0.11443177055229269,3864.0,3596.0,7460.0,0.9989287627209427,0.5388739946380697,4825.0,0.9991709844559585,0.42086704003318814,4821.0,2643.0,0.9984865682936057,0.7544524441076165,2639.0
0.5,False,7468.0,0.7047402249598286,0.6352775825720309,0.6106743897393463,0.6229759861556886,0.6491697911087306,0.6239787193615809,0.5407562226866806,0.4592437773133194,0.5,0.0,5263.0,2846.0,2417.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.17474558114622393,0.5147789058487171,0.3394575402387954,2846.0,2417.0,5263.0,0.7047402249598286,0.6239787193615809,4825.0,0.7517098445595854,0.7129859387923904,3627.0,2643.0,0.6189935679152478,0.42665036674816625,1636.0
0.5,True,7468.0,0.9855382967327263,0.5867149134143189,0.5631624176453738,0.5749386655298463,0.6491697911087306,0.5755434782608696,0.5256793478260869,0.47432065217391306,0.5,0.0,7360.0,3869.0,3491.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.14890198178896633,0.6467751985596542,0.23022215774594612,3869.0,3491.0,7360.0,0.9855382967327263,0.5755434782608696,4825.0,0.9890155440414508,0.5419111483654652,4772.0,2643.0,0.9791903140370791,0.6375579598145286,2588.0
0.55,False,7468.0,0.7047402249598286,0.6634844868735084,0.6553648068669528,0.6594246468702305,0.6491697911087306,0.6598897966939008,0.5572867186015581,0.44271328139844196,0.55,0.0,5263.0,2933.0,2330.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2253615425816818,0.4895807810658762,0.46031533772841865,2933.0,2330.0,5263.0,0.7047402249598286,0.6598897966939008,4825.0,0.7517098445595854,0.8480838158257513,3627.0,2643.0,0.6189935679152478,0.24266503667481662,1636.0
0.55,True,7468.0,0.9463042313872523,0.6144134665965282,0.5987748851454824,0.6065941758710053,0.6491697911087306,0.6071883401726333,0.537993490873072,0.462006509126928,0.55,0.0,7067.0,3802.0,3265.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.20286555972147827,0.6096879003497503,0.33273673235946377,3802.0,3265.0,7067.0,0.9463042313872523,0.6071883401726333,4825.0,0.9560621761658031,0.6668111857793193,4613.0,2643.0,0.9284903518728718,0.49511002444987773,2454.0
0.6,False,7468.0,0.7047402249598286,0.6856948691811077,0.6849137931034482,0.685304331142278,0.6491697911087306,0.6853505605168155,0.5591867756032681,0.44081322439673193,0.6,0.0,5263.0,2943.0,2320.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2612479914301018,0.4708992639247415,0.5547853042978086,2943.0,2320.0,5263.0,0.7047402249598286,0.6853505605168155,4825.0,0.7517098445595854,0.9423766197959746,3627.0,2643.0,0.6189935679152478,0.11552567237163815,1636.0
0.6,True,7468.0,0.8557846813069094,0.6476163124641011,0.6387074596081127,0.6431618860361069,0.6491697911087306,0.6435612580190894,0.544828665310593,0.45517133468940696,0.6,0.0,6391.0,3482.0,2909.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.24571505088377077,0.5522995701714508,0.4448945176754225,3482.0,2909.0,6391.0,0.8557846813069094,0.6435612580190894,4825.0,0.8806217616580311,0.8044245704871734,4249.0,2643.0,0.8104426787741204,0.32446311858076565,2142.0
