variant,feature_count,reversal_roc_auc,reversal_average_precision,coverage,accepted_sample_accuracy,selection_score,utility,accepted_count,target_met
impulse,569,0.6153210259184982,0.43337282755019274,0.7047402249598286,0.6942808284248527,0.5899471883558022,0.27383502945902516,5263.0,False
reversal_expanded,436,0.6145354529218838,0.4340293178337765,0.7047402249598286,0.6942808284248527,0.5899471883558022,0.27383502945902516,5263.0,False
all_safe,1805,0.6150972262247132,0.43224873535066616,0.7047402249598286,0.6942808284248527,0.5899471883558022,0.27383502945902516,5263.0,False
