slice,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss
abs_return_1bp_to_5bp,2562.0,0.6046057767369243,0.5004248088360238,0.5376344086021505,0.5190296087190871,0.5070257611241218,0.5093608779857973,0.7598450613298903,0.24015493867010976,0.5,0.46,1549.0,1177.0,372.0,0.5072622681437851,0.2507218395006797,0.6946024682924895
abs_return_ge_5bp,4995.0,0.6308308308308308,0.5354037267080746,0.6005434782608695,0.567973602484472,0.5353353353353353,0.5506188511583624,0.7664233576642335,0.23357664233576642,0.5,0.46,3151.0,2415.0,736.0,0.5540386848783065,0.24780143794012988,0.6887335089115633
abs_return_lt_1bp,663.0,0.6244343891402715,0.5123456790123457,0.45555555555555555,0.4839506172839506,0.4947209653092006,0.5,0.782608695652174,0.21739130434782608,0.5,0.46,414.0,324.0,90.0,0.49045189504373177,0.2521702413927862,0.6975275503933571
