feature,gain,split
ret_vol_ratio__ret_3__rv_30,18.14430046081543,1
sl_mirror_relative_volume_30s_lag3s,18.054970264434814,2
volume_z_3_mean_gap_24,17.922700881958008,1
sl_mirror_max_abs_ret_300s,17.922500610351562,1
signed_volume_1_lag1,17.909920692443848,2
volume_z_term_ratio__volume_z_5__volume_z_10,17.85779047012329,2
volume_z_20_rolling_z_12,17.726299285888672,1
context_relative_volume_product__down_ratio_5__relative_volume_3,17.69729995727539,1
context_ret_product__wick_pressure_1__ret_1,17.516819953918457,2
sl_large_trade_volume_share_10s,17.508089542388916,2
sl_mirror_efficiency_10s,17.507999420166016,1
volume_z_20_delta_1,17.42770004272461,1
vwap_dist_term_spread__vwap_dist_3__vwap_dist_5,17.381399154663086,1
sl_mirror_relative_volume_30s,17.07040023803711,1
premium_index_zscore_720,17.023580074310303,2
range_pos_10_mean_gap_6,16.843799591064453,1
volume_z_term_ratio__volume_z_3__volume_z_5,16.728300094604492,2
range_pos_term_spread__range_pos_5__range_pos_10,16.720580101013184,2
htf_efficiency_15m_delta_1,16.711599349975586,1
sl_signed_dollar_flow_30s_lag30s,16.66510009765625,1
volume_share_term_ratio__volume_share_3__volume_share_10,16.64929962158203,1
wick_pressure_1_rolling_z_24,16.411500930786133,1
sl_positive_jump_count_30s,16.35110092163086,1
sl_mirror_return_slope_5s,16.198299407958984,1
sl_interarrival_cv_10s,16.1825008392334,1
sl_rv_3s,16.129600524902344,1
sl_range_300s,16.12150001525879,1
relative_volume_5_delta_3,16.06760025024414,1
sl_microprice_improvement_persistence_30s,15.974699974060059,1
sl_spread_bps_lag1s,15.724180221557617,2
sl_mirror_mean_abs_ret_15s,15.585599899291992,1
sl_large_buy_volume_share_60s,15.568599700927734,1
context_relative_volume_product__clv_1__relative_volume_5,15.552399635314941,1
ret_vol_product__ret_10__rv_3,15.540900230407715,1
context_ret_product__compression_score__ret_3,15.532899856567383,1
clv_1_lag12,15.365400314331055,1
