value,sample_count,coverage,violation_rate,mean_gap,median_gap,min_gap,max_violation,p90_violation,p95_violation,p99_violation
0.00_0.10,1202,1.0,0.0,0.558460533618927,0.5431793928146362,0.3669946491718292,0.0,0.0,0.0,0.0
0.10_0.20,1797,1.0,0.0,0.46474096179008484,0.4491311311721802,0.2822470963001251,0.0,0.0,0.0,0.0
0.20_0.30,2165,1.0,0.0,0.34984731674194336,0.3382375240325928,0.06437209248542786,0.0,0.0,0.0,0.0
0.30_0.40,2451,1.0,0.0,0.23394720256328583,0.22251352667808533,0.0466025173664093,0.0,0.0,0.0,0.0
0.40_0.50,2479,0.9770068576038725,0.022993142396127472,0.1372983455657959,0.12230983376502991,-0.0270998477935791,0.03709983825683594,0.0,0.0,0.01190364897251129
0.50_0.60,2433,0.7414714344430744,0.2585285655569256,0.07136545330286026,0.053275465965270996,-0.12382179498672485,0.1338217854499817,0.02964437007904058,0.04448410272598272,0.07255166530609128
0.60_0.70,1769,0.6280384397964952,0.3719615602035048,0.043900925666093826,0.03203815221786499,-0.163072407245636,0.17307239770889282,0.05800246000289918,0.08008093833923338,0.12482138633728024
0.70_0.80,956,0.6380753138075314,0.3619246861924686,0.028545675799250603,0.03383550047874451,-0.2669161558151245,0.27691614627838135,0.06770876049995422,0.1014595478773117,0.18615975081920624
0.80_0.90,357,0.5350140056022409,0.4649859943977591,0.001920252456329763,0.01361924409866333,-0.35851913690567017,0.368519127368927,0.0708887815475464,0.1268285512924194,0.29449378013610833
0.90_1.00,48,0.0,1.0,-0.0824236199259758,-0.03446769714355469,-0.38660693168640137,0.3966069221496582,0.3111099302768707,0.34253211021423335,0.3843696826696396
