value,sample_count,coverage,violation_rate,mean_gap,median_gap,min_gap,max_violation,p90_violation,p95_violation,p99_violation
0.00_0.10,4,1.0,0.0,0.8391357660293579,0.8310707807540894,0.8044478893280029,0.0,0.0,0.0,0.0
0.10_0.20,128,1.0,0.0,0.6189439296722412,0.6635975241661072,0.033252596855163574,0.0,0.0,0.0,0.0
0.20_0.30,764,0.9175392670157068,0.0824607329842932,0.32193243503570557,0.29409897327423096,-0.27847665548324585,0.2884766459465027,0.0,0.026911681890487777,0.10692630767822274
0.30_0.40,1998,0.8553553553553553,0.14464464464464463,0.22191768884658813,0.17691366374492645,-0.26047033071517944,0.2704703211784363,0.016978442668914795,0.04235030412673949,0.09963957548141476
0.40_0.50,3077,0.848228794280143,0.151771205719857,0.2166859656572342,0.18425032496452332,-0.38660693168640137,0.3966069221496582,0.019850873947143556,0.048664939403533926,0.10361995697021434
0.50_0.55,1518,0.8675889328063241,0.1324110671936759,0.23936408758163452,0.2341744750738144,-0.19788748025894165,0.2078874707221985,0.015356457233428954,0.04449653923511499,0.0938136857748027
0.55_0.60,1521,0.8941485864562788,0.10585141354372124,0.23718735575675964,0.22796952724456787,-0.3185417056083679,0.32854169607162476,0.0030492544174194336,0.033716559410095215,0.10819926261901837
0.60_0.65,1407,0.9175550817341862,0.0824449182658138,0.2285575568675995,0.220571368932724,-0.3400654196739197,0.3500654101371765,0.0,0.026001369953155527,0.1009171211719516
0.65_0.70,1360,0.9102941176470588,0.08970588235294118,0.21709716320037842,0.19264072179794312,-0.3205336928367615,0.3305336833000183,0.0,0.027456185221672043,0.07931012451648722
0.70_0.80,2296,0.8911149825783972,0.10888501742160278,0.19180969893932343,0.16060614585876465,-0.35851913690567017,0.368519127368927,0.003813624382019043,0.029157698154449463,0.08505598008632675
0.80_0.90,1231,0.8659626320064988,0.13403736799350122,0.1549355387687683,0.1069074273109436,-0.12787383794784546,0.1378738284111023,0.010409235954284668,0.03049948811531067,0.059939879179000996
0.90_1.00,353,0.8016997167138811,0.19830028328611898,0.11944878101348877,0.07335501909255981,-0.06947898864746094,0.07947897911071777,0.02418148517608643,0.036957991123199425,0.06080280542373668
