sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,tau_rev,reversal_t_up,reversal_t_down,continuation_coverage,continuation_accepted_accuracy,continuation_only_utility,continuation_only_accepted_count,combined_coverage,combined_accepted_accuracy,combined_utility,incremental_utility_from_reversal,reversal_fallback_residual_sample_count,reversal_fallback_accepted_count,reversal_fallback_coverage_on_residual,reversal_fallback_accepted_accuracy,reversal_fallback_utility,success_criteria_satisfied,coverage_constraint_satisfied,official_acceptance_metric
7468.0,1.0,0.6370948086765781,0.6309063893016345,0.6340005989891062,0.6336368505623996,0.6343063738618104,0.5494108194965185,0.4505891805034815,0.55,0.44999999999999996,7468.0,4103.0,3365.0,0.6139746976422529,0.25917823957979913,0.7379363651594757,0.26861274772362087,0.6047260752921024,0.444189127439018,4103.0,3365.0,7468.0,1.0,0.6343063738618104,0.55,0.55,0.44999999999999996,0.7000535618639528,0.7002677888293802,0.28039635779325117,5228.0,1.0,0.6343063738618104,0.26861274772362087,-0.011783610069630301,2240.0,2240.0,1.0,0.48035714285714287,-0.03928571428571426,False,True,validation_selection_score_with_coverage_ge_0.70
7468.0,1.0,0.6370948086765781,0.6309063893016345,0.6340005989891062,0.6336368505623996,0.6343063738618104,0.5494108194965185,0.4505891805034815,0.58,0.42000000000000004,7468.0,4103.0,3365.0,0.6139746976422529,0.25917823957979913,0.7379363651594757,0.26861274772362087,0.6047260752921024,0.444189127439018,4103.0,3365.0,7468.0,1.0,0.6343063738618104,0.58,0.58,0.42000000000000004,0.7000535618639528,0.7002677888293802,0.28039635779325117,5228.0,1.0,0.6343063738618104,0.26861274772362087,-0.011783610069630301,2240.0,2240.0,1.0,0.48035714285714287,-0.03928571428571426,False,True,validation_selection_score_with_coverage_ge_0.70
7468.0,1.0,0.6370948086765781,0.6309063893016345,0.6340005989891062,0.6336368505623996,0.6343063738618104,0.5494108194965185,0.4505891805034815,0.6,0.4,7468.0,4103.0,3365.0,0.6139746976422529,0.25917823957979913,0.7379363651594757,0.26861274772362087,0.6047260752921024,0.444189127439018,4103.0,3365.0,7468.0,1.0,0.6343063738618104,0.6,0.6,0.4,0.7000535618639528,0.7002677888293802,0.28039635779325117,5228.0,1.0,0.6343063738618104,0.26861274772362087,-0.011783610069630301,2240.0,2240.0,1.0,0.48035714285714287,-0.03928571428571426,False,True,validation_selection_score_with_coverage_ge_0.70
7468.0,0.9998660953401178,0.6370063383715261,0.6309063893016345,0.6339563638365803,0.6335029459025174,0.634257399223249,0.5493504754252042,0.4506495245747958,0.62,0.38,7467.0,4102.0,3365.0,0.6139561018366625,0.25920043718601343,0.7379812176470567,0.26847884306373865,0.6047260752921025,0.443967697166117,4102.0,3365.0,7467.0,0.9998660953401178,0.634257399223249,0.62,0.62,0.38,0.7000535618639528,0.7002677888293802,0.28039635779325117,5228.0,0.9998660953401178,0.634257399223249,0.26847884306373865,-0.011917514729512524,2240.0,2239.0,0.9995535714285714,0.48012505582849485,-0.03973214285714288,False,True,validation_selection_score_with_coverage_ge_0.70
7468.0,0.9995982860203535,0.6370731707317073,0.6309063893016345,0.633989780016671,0.6333690412426353,0.6342933690555927,0.5492297387809779,0.4507702612190221,0.65,0.35,7465.0,4100.0,3365.0,0.6139792927447926,0.2591990457811692,0.7379776333926708,0.2684788430637386,0.6046153500187598,0.4440490024863053,4100.0,3365.0,7465.0,0.9995982860203535,0.6342933690555927,0.65,0.65,0.35,0.7000535618639528,0.7002677888293802,0.28039635779325117,5228.0,0.9995982860203535,0.6342933690555927,0.2684788430637386,-0.01191751472951258,2240.0,2237.0,0.9986607142857142,0.4801072865444792,-0.03973214285714287,False,True,validation_selection_score_with_coverage_ge_0.70
7468.0,0.9990626673808248,0.63720703125,0.6309063893016345,0.6340567102758172,0.6333690412426353,0.6343653665728455,0.5489880713041148,0.45101192869588524,0.68,0.31999999999999995,7461.0,4096.0,3365.0,0.6140225154280567,0.2591909060222096,0.7379598974835891,0.26847884306373865,0.6043938386172902,0.4442117472242182,4096.0,3365.0,7461.0,0.9990626673808248,0.6343653665728455,0.68,0.68,0.31999999999999995,0.7000535618639528,0.7002677888293802,0.28039635779325117,5228.0,0.9990626673808248,0.6343653665728455,0.26847884306373865,-0.011917514729512524,2240.0,2233.0,0.996875,0.4800716524854456,-0.039732142857142855,False,True,validation_selection_score_with_coverage_ge_0.70
7468.0,0.9989287627209427,0.6371184371184371,0.6309063893016345,0.6340124132100358,0.6333690412426353,0.6343163538873995,0.5489276139410187,0.45107238605898126,0.7,0.30000000000000004,7460.0,4095.0,3365.0,0.6139792927447926,0.2592106618301474,0.7380014579316502,0.2683449384038565,0.6043938386172902,0.44399019523059013,4095.0,3365.0,7460.0,0.9989287627209427,0.6343163538873995,0.7,0.7,0.30000000000000004,0.7000535618639528,0.7002677888293802,0.28039635779325117,5228.0,0.9989287627209427,0.6343163538873995,0.2683449384038565,-0.01205141938939469,2240.0,2232.0,0.9964285714285714,0.4798387096774194,-0.0401785714285714,False,True,validation_selection_score_with_coverage_ge_0.70
7468.0,0.998393144081414,0.6370080664874114,0.6309063893016345,0.6339572278945229,0.6332351365827531,0.6342542918454935,0.5486856223175965,0.45131437768240346,0.72,0.28,7456.0,4091.0,3365.0,0.6139117303777634,0.2592546402172006,0.7380932262954639,0.26807712908409204,0.6042830524668559,0.4436284088883921,4091.0,3365.0,7456.0,0.998393144081414,0.6342542918454935,0.72,0.72,0.28,0.7000535618639528,0.7002677888293802,0.28039635779325117,5228.0,0.998393144081414,0.6342542918454935,0.26807712908409204,-0.012319228709159136,2240.0,2228.0,0.9946428571428572,0.4793536804308797,-0.04107142857142855,False,True,validation_selection_score_with_coverage_ge_0.70
7468.0,0.9979914301017675,0.636986301369863,0.6309063893016345,0.6339463453357488,0.6332351365827531,0.6342412451361867,0.5485039581376627,0.4514960418623373,0.75,0.25,7453.0,4088.0,3365.0,0.6138967962945093,0.2592629248909623,0.7381113586116884,0.26794322442420987,0.6041722460017331,0.4434881380225487,4088.0,3365.0,7453.0,0.9979914301017675,0.6342412451361867,0.75,0.75,0.25,0.7000535618639528,0.7002677888293802,0.28039635779325117,5228.0,0.9979914301017675,0.6342412451361867,0.26794322442420987,-0.012453133369041303,2240.0,2225.0,0.9933035714285714,0.4791011235955056,-0.04151785714285716,False,True,validation_selection_score_with_coverage_ge_0.70
7468.0,0.9974558114622389,0.6371204701273262,0.6309063893016345,0.6340134297144804,0.6331012319228709,0.6343133306484092,0.548261511612297,0.45173848838770303,0.78,0.21999999999999997,7449.0,4084.0,3365.0,0.614001406675765,0.2592303915941849,0.7380351517618867,0.26794322442421004,0.6039505720826949,0.4436509158360767,4084.0,3365.0,7449.0,0.9974558114622389,0.6343133306484092,0.78,0.78,0.21999999999999997,0.7000535618639528,0.7002677888293802,0.28039635779325117,5228.0,0.9974558114622389,0.6343133306484092,0.26794322442421004,-0.012453133369041136,2240.0,2221.0,0.9915178571428571,0.4790634849167042,-0.04151785714285712,False,True,validation_selection_score_with_coverage_ge_0.70
