epoch,fit_loss,calibration_mae
1.0,0.01598495017323229,0.14528053520526635
2.0,0.014368171079291238,0.14539777693856676
3.0,0.013868826855387952,0.14270688226702652
4.0,0.013246185456713041,0.14153338411286615
5.0,0.01270077434471912,0.14028700206517208
6.0,0.012234077944109837,0.1436489934215916
7.0,0.011785561943219768,0.14714752116943866
8.0,0.011269087644500865,0.14364641550135349
9.0,0.010702779930498865,0.1442761141942607
10.0,0.010195437767025497,0.14783079143221414
11.0,0.009440314179907242,0.15432237668071805
12.0,0.008852198616498046,0.1524979105438474
13.0,0.008223564622716771,0.1549217876732662
14.0,0.0077595396691726316,0.15623024126084764
15.0,0.0070551067280272646,0.15704277573702652
